plz,ort,lat,lon,nat_c,temp_mittel_c,hgt15_kd,vollbenutz_h,hoehe_m
01067,Dresden,51.0655,13.7123,-8.5,10.8307,1964,1178.46,111
01069,Dresden,51.0388,13.7365,-8.5,10.8307,1964,1178.46,119
01097,Dresden,51.0641,13.7399,-8.5,10.8307,1964,1178.46,117
01099,Dresden,51.0883,13.8206,-8.5,10.2644,2110,1265.76,255
01108,Dresden,51.1561,13.7867,-8.5,10.2644,2110,1265.76,206
01109,Dresden,51.1178,13.756,-8.5,10.2644,2110,1265.76,214
01127,Dresden,51.0754,13.726,-8.5,10.2644,2110,1265.76,117
01129,Dresden,51.0931,13.7209,-8.5,10.2644,2110,1265.76,115
01139,Dresden,51.0764,13.6889,-8.5,10.2644,2110,1265.76,110
01156,Cossebaude,51.0658,13.6205,-8.5,10.2644,2110,1265.76,260
01157,Dresden,51.0641,13.665,-8.5,10.8307,1964,1178.46,143
01159,Dresden,51.0398,13.6954,-8.5,10.8307,1964,1178.46,141
01169,Dresden,51.0429,13.667,-8.5,10.8307,1964,1178.46,191
01187,Dresden,51.0291,13.7088,-8.5,10.8307,1964,1178.46,147
01189,Dresden,51.0136,13.6989,-8.5,10.8307,1964,1178.46,239
01217,Dresden,51.0166,13.7448,-8.5,10.8307,1964,1178.46,153
01219,Dresden,51.0183,13.7698,-8.5,10.8307,1964,1178.46,132
01237,Dresden,51.0196,13.7988,-8.5,10.8307,1964,1178.46,117
01239,Dresden,50.9987,13.7836,-8.5,10.8307,1964,1178.46,154
01257,Dresden,51.0003,13.8125,-8.5,10.8214,1949,1169.34,124
01259,Dresden,50.9966,13.8501,-8.5,10.8214,1949,1169.34,117
01277,Dresden,51.0355,13.799,-8.5,10.8307,1964,1178.46,121
01279,Dresden,51.0292,13.8251,-8.5,10.8214,1949,1169.34,111
01307,Dresden,51.0542,13.7686,-8.5,10.8307,1964,1178.46,113
01309,Dresden,51.0545,13.7948,-8.5,10.8307,1964,1178.46,126
01324,Dresden,51.0611,13.8418,-8.5,10.8214,1949,1169.34,250
01326,Dresden,51.0469,13.8338,-8.5,10.8214,1949,1169.34,273
01328,Dresden,51.0408,13.9026,-8.5,10.8214,1949,1169.34,309
01445,Radebeul,51.1151,13.6371,-8.5,10.2644,2110,1265.76,182
01454,Radeberg,51.1404,13.9144,-8.5,10.2644,2110,1265.76,254
01458,Ottendorf-Okrilla,51.1747,13.827,-8.5,10.2644,2110,1265.76,192
01465,Langebrück,51.1396,13.8517,-8.5,10.2644,2110,1265.76,207
01468,Reichenberg,51.1457,13.6765,-8.5,10.2644,2110,1265.76,204
01471,Radeburg,51.1984,13.7265,-8.5,10.2644,2110,1265.76,156
01477,"Arnsdorf bei Dresden",51.0933,13.9826,-8.5,10.8214,1949,1169.34,252
01558,Großenhain,51.2884,13.5375,-8.5,9.9707,2150,1289.7,119
01561,Großenhain,51.2959,13.6955,-8.5,10.2644,2110,1265.76,134
01587,Riesa,51.3025,13.2656,-8.5,10.3553,2076,1245.84,133
01589,Riesa,51.2893,13.3239,-8.5,10.3553,2076,1245.84,107
01591,Riesa,51.3149,13.2411,-8.5,10.3553,2076,1245.84,100
01594,Riesa,51.2619,13.2917,-8.5,10.3553,2076,1245.84,129
01609,Gröditz,51.3761,13.407,-8.5,10.3553,2076,1245.84,94
01612,Nünchritz,51.3022,13.4093,-8.5,9.9707,2150,1289.7,106
01616,Strehla,51.3783,13.2206,-8.5,10.3553,2076,1245.84,95
01619,Zeithain,51.3721,13.3157,-8.5,10.3553,2076,1245.84,106
01623,Lommatzsch,51.2077,13.2885,-8.5,9.9707,2150,1289.7,174
01640,Coswig,51.1284,13.5758,-8.5,9.9707,2150,1289.7,109
01662,Meißen,51.1668,13.4775,-8.5,9.9707,2150,1289.7,113
01665,Meißen,51.0928,13.4466,-8.5,9.9707,2150,1289.7,236
01683,Nossen,51.0916,13.3058,-8.5,10.0375,2140,1284.3,229
01689,Weinböhla,51.1806,13.5667,-8.5,9.9707,2150,1289.7,177
01705,Freital,51.0074,13.6347,-8.5,10.8307,1964,1178.46,261
01723,Wilsdruff,51.0309,13.4952,-8.5,9.9707,2150,1289.7,293
01728,Bannewitz,50.9846,13.7267,-8.5,10.8307,1964,1178.46,311
01731,Kreischa,50.9501,13.756,-8.5,8.8627,2453,1471.56,227
01734,Rabenau,50.9576,13.6596,-8.5,8.8627,2453,1471.56,303
01737,Tharandt,50.9632,13.5055,-8.5,8.8627,2453,1471.56,416
01738,Colmnitz,50.9353,13.5557,-8.5,8.8627,2453,1471.56,365
01744,Dippoldiswalde,50.8588,13.6294,-8.5,8.8627,2453,1471.56,532
01762,Schmiedeberg,50.7957,13.5862,-8.5,6.0559,3283,1969.92,625
01768,Glashütte,50.863,13.7644,-8.5,8.8627,2453,1471.56,473
01773,Altenberg,50.7762,13.7297,-8.5,6.0559,3283,1969.92,726
01774,Höckendorf,50.8832,13.5424,-8.5,8.8627,2453,1471.56,489
01776,"Hermsdorf / Erzgebirge",50.7572,13.6404,-8.5,6.0559,3283,1969.92,686
01778,Geising,50.7666,13.8396,-8.5,6.0559,3283,1969.92,617
